District,Latitude,Longitude
Ba Đình District,21.0363054,105.8289861
Ba Vì District,21.157241650000003,105.37676448554157
Bắc Từ Liêm District,21.071569500000003,105.76047190713345
Cầu Giấy District,21.0363077,105.7860752
Chương Mỹ District,20.8784745,105.64924976305664
Đan Phượng District,21.11962705,105.67846875670617
Đông Anh District,21.1367358,105.84635906028333
Đống Đa District,21.014488200000002,105.82358773627462
Gia Lâm District,21.0237482,105.97041496102682
Hà Đông District,20.9535901,105.75997063168222
Hai Bà Trưng District,21.0065184,105.85767093241661
Hoài Đức District,21.023065600000002,105.70338442866341
Hoàn Kiếm District,21.03030915,105.85426421094363
Hoàng Mai District,20.9755354,105.85744654567378
Long Biên District,21.0371542,105.89784527756584
Mê Linh District,21.18078845,105.70725700576077
Mỹ Đức District,20.697382599999997,105.71577535499549
Nam Từ Liêm District,21.019204100000003,105.75763278281053
Phú Xuyên District,20.72904585,105.91023981311886
Phúc Thọ District,21.1079973,105.57074703613138
Quốc Oai District,20.978094300000002,105.62945748084047
Sóc Sơn District,21.2808747,105.82924029963563
Sơn Tây District,14.96943155,108.35560467815029
Tây Hồ District,21.07097625,105.82368229447749
Thạch Thất District,21.0235566,105.55383629633194
Thanh Oai District,20.8602693,105.7800155750608
Thanh Trì District,20.941461599999997,105.83603265035416
Thanh Xuân District,20.99439525,105.81939890126282
Thường Tín District,20.8319978,105.87006434087073
Ứng Hòa District,20.7110772,105.81433035379561
